id,type,itunes_product_id,googleplay_product_id,dev_itunes_product_id,dev_googleplay_product_id,title,gift_description,banner_image_path,price,start_at,end_at,display_counter,purchasing_count_max,reset_type,reset_interval,reset_time,display_when_sold_out,unlock_instruction,display_when_locked,extend_interval_reset_hours,geoip_limited,is_paid_stone,show_probability
1,SpecialPackageProduct,bngi0221_special_shop_product_0,bngi0221_special_shop_product_0,,,Opening Celebration Pack,Opening Celebration Pack,banners/en/dummy_image/dummy_image.png,860,2017-07-26 06:30:00,2017-09-13 06:29:59,0,1,,,,1,,0,,1,1,1
2,SpecialPackageProduct,bngi0221_special_shop_product_fake_1,bngi0221_special_shop_product_fake_1,,,200M Downloads Celebration Pack,200M Downloads Celebration Pack,banners/en/dummy_image/dummy_image.png,5600,2017-08-03 06:30:00,2017-08-24 07:59:59,1,1,,,,1,,0,,1,1,1
3,SpecialPackageProduct,bngi0221_special_shop_product_fake_2,bngi0221_special_shop_product_fake_2,,,Beginner’s Pack,Beginner’s Pack,banners/en/dummy_image/dummy_image.png,1085,2017-09-15 06:30:00,2018-07-03 05:59:59,0,1,,,,1,,0,,1,1,1
4,SpecialPackageProduct,bngi0221_special_shop_product_6,bngi0221_special_shop_product_6,,,Halloween Power Pack,Halloween Power Pack,banners/en/special_shop/Halloween_Power_Pack.png,1200,2017-10-31 00:00:00,2017-11-14 23:59:59,0,3,,,,1,,0,,1,1,1
5,SpecialPackageProduct,bngi0221_special_shop_product_7,bngi0221_special_shop_product_7,,,Appreciation Pack,Appreciation Pack,banners/en/dummy_image/dummy_image.png,1800,2017-11-20 00:00:00,2017-12-19 23:59:59,1,1,,,,1,,0,,0,1,1
6,SpecialPackageProduct,bngi0221_special_shop_product_8,bngi0221_special_shop_product_8,,,Potential Progression Pack,Potential Progression Pack,banners/en/dummy_image/dummy_image.png,6100,2017-11-23 20:00:00,2017-12-11 07:59:59,1,1,,,,1,,0,,0,1,1
7,SpecialPackageProduct,bngi0221_special_shop_product_9,bngi0221_special_shop_product_9,,,Christmas Celebration Pack,Christmas Celebration Pack,banners/en/dummy_image/dummy_image.png,1800,2017-12-21 04:00:00,2018-01-07 05:59:59,1,3,,,,1,,0,,1,1,1
9,SpecialPackageProduct,bngi0221_special_shop_product_11,bngi0221_special_shop_product_11,,,Kamehameha Special Pack,Kamehameha Special Pack,banners/en/dummy_image/dummy_image.png,840,2018-01-31 06:30:00,2018-05-01 05:59:59,1,3,,,,1,,0,,1,1,1
10,SpecialPackageProduct,bngi0221_special_shop_product_12,bngi0221_special_shop_product_12,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,3060,2018-03-16 06:30:00,2018-03-27 05:59:59,1,3,,,,1,,0,,1,1,1
14,SpecialPackageProduct,bngi0221_special_shop_product_15,bngi0221_special_shop_product_15,,,3rd Anniv. Super Thanks Pack,3rd Anniv. Super Thanks Pack,banners/en/dummy_image/dummy_image.png,5400,2018-07-07 06:30:00,2018-08-13 05:59:59,1,1,,,,1,,0,,0,1,1
15,SpecialPackageProduct,bngi0221_special_shop_product_5,bngi0221_special_shop_product_5,,,Beginner’s Pack,Beginner’s Pack,banners/en/dummy_image/dummy_image.png,1220,2018-07-03 06:30:00,2019-11-11 23:29:59,0,1,,,,1,,0,,1,1,1
20,SpecialPackageProduct,bngi0221_special_shop_product_1,bngi0221_special_shop_product_1,,,Christmas Celebration Pack,Christmas Celebration Pack,banners/en/dummy_image/dummy_image.png,5500,2018-12-21 06:30:00,2019-01-01 05:59:59,1,1,,,,1,,0,,0,1,1
21,SpecialPackageProduct,bngi0221_special_shop_product_fake_21,bngi0221_special_shop_product_fake_21,,,Wrathful Outburst Pack,Wrathful Outburst Pack,banners/en/special_shop/wrathful_outburst_pack.png,980,2019-10-03 06:30:00,2019-10-22 05:59:59,1,3,,,,1,,0,,1,1,1
22,SpecialPackageProduct,bngi0221_special_shop_product_20_3,bngi0221_special_shop_product_20_3,,,Halloween Pack,Halloween Pack,banners/en/special_shop/Halloween_Power_Pack.png,4280,2019-10-21 06:30:00,2019-11-12 05:59:59,1,1,,,,1,,0,,1,1,1
3101,SpecialPackageProduct,bngi0221_special_shop_product_fake_3101,bngi0221_special_shop_product_fake_3101,,,Hidden Potential Activation Pack (AGL),Hidden Potential Activation Pack (AGL),banners/en/dummy_image/dummy_image.png,2200,2017-11-03 00:00:00,2017-12-29 23:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3102,SpecialPackageProduct,bngi0221_special_shop_product_fake_3102,bngi0221_special_shop_product_fake_3102,,,Hidden Potential Activation Pack (TEQ),Hidden Potential Activation Pack (TEQ),banners/en/dummy_image/dummy_image.png,2200,2017-11-03 00:00:00,2017-12-29 23:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
