id,name,description,itemized_description
1,Barrage,"Deliver the final blow for ATK +25% in the 
next attack","*After delivering a final blow*
- ATK 25%{passiveImg:up_g} for 3 turn(s) after the end of the turn"
2,Hero's Call,ATK +50% for 3 turns,
3,The Saiyan Among Us,ATK and DEF +100% for 3 turns,
4,Saiyan's Pride,"Ki +2 and ATK +2000 when HP is 30% or 
below","*When HP is 30% or less*
- Ki +2 and ATK 2000{passiveImg:up_g}"
5,Hope,Ki +3 for 3 turns,
6,Prince's Pride,ATK +40% when HP is 30% or less,"*When HP is 30% or less*
- ATK 40%{passiveImg:up_g}"
7,Miracle Growth,Deliver the final blow for ATK +1000,
8,Beginner's Blow,ATK +900 on the first attack,
9,Diversion Attack,"Disable enemy's guard as the 1st attacker 
in a turn",
10,Rapid,AGL & PHY Types Ki +1,"*Basic effect(s)*
- AGL & PHY Type allies' Ki +1"
11,Resolved Choice,"Ki +3 and ATK +2000 when HP is 20% or 
below",
12,Psychokinesis,Disable enemy's guard,
13,First Attack,"Enemy's DEF -50% 
as the 1st attacker in a turn","*When attacking*
- Enemies' DEF 50%{passiveImg:down_y}"
14,Hidden Power,With a chance that ATK + 25%,"*Basic effect(s)*
- Chance of ATK 25%{passiveImg:up_g}"
15,Captain's Character,Rare chance of ATK & DEF +50%,"*Basic effect(s)*
- Rare chance of ATK & DEF 50%{passiveImg:up_g}"
16,Pride Abandoned,ATK +3000 and ignore enemy's DEF,
17,Kill Them All,ATK +50% when facing 3 or more enemies,"*When facing 3 or more enemies*
- ATK 50%{passiveImg:up_g}"
18,Energy Absorption,"Recover 15% of damage dealt as HP 
when Ki >= 5","*After attacking with 5 or more Ki*
- Recovers 15% of damage dealt as HP"
19,Energy Absorption,"Recover 25% of damage dealt as HP 
when Ki >= 8","*After attacking with 8 or more Ki*
- Recovers 25% of damage dealt as HP"
20,Full Power,ATK +25% when HP is 50% or more,"*When HP is 50% or more*
- ATK 25%{passiveImg:up_g}"
21,Full Power,ATK +2000 when Ki is 5 or more,
22,United We Stand,With a chance to reduce enemy's DEF to 0,"*When attacking*
- Rare chance of lowering the enemy's DEF to 0"
23,Master's Teachings,All allies' Ki +1 when HP is 50% or more,"*When HP is 50% or more*
- All allies' Ki +1"
24,Assassin's Pride,Ki +1 at start of turn,"*Basic effect(s)*
- Ki +1"
