id,finish_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id
1,1,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
2,1,1,{},0,1,116,,"{""is_active"":false}",,
3,1,1,{},0,1,117,,"[0,0,0]",,
4,1,1,{},0,1,118,,"[15,435,0]",,
5,2,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
6,2,1,{},0,1,116,,"{""is_active"":false}",,
7,2,1,{},0,1,117,,"[0,0,0]",,
8,2,1,{},0,1,118,,"[15,4830,0]",,
9,3,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
10,3,1,{},0,1,116,,"{""is_active"":false}",,
11,3,1,{},0,1,117,,"[0,0,0]",,
12,3,1,{},0,1,118,,"[15,570,0]",,
13,4,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
14,4,1,{},0,1,116,,"{""is_active"":false}",,
15,4,1,{},0,1,117,,"[0,0,0]",,
16,4,1,{},0,1,118,,"[20,6440,0]",,
17,5,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,
18,5,1,{},0,1,117,,"[0,0,0]",,
19,6,1,{},0,1,115,,"{""type"":""revival"",""is_active"":false}",,
20,6,1,{},0,1,117,,"[0,0,0]",,
21,7,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
22,7,1,{},0,1,116,,"{""is_active"":false}",,
23,7,1,{},0,1,117,,"[0,0,0]",,
24,7,1,{},0,1,4,2.0,"[30,0,0]",,46.0
25,7,1,{},0,3,5,0.0,"[3,0,0]",5014.0,43.0
26,8,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
27,8,1,{},0,1,116,,"{""is_active"":false}",,
28,8,1,{},0,1,103,,"[4026920,0,1745]",,
29,9,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
30,9,1,{},0,1,116,,"{""is_active"":false}",,
31,9,1,{},0,1,103,,"[4026921,0,1746]",,
32,10,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
33,10,1,{},0,1,116,,"{""is_active"":false}",,
34,10,1,{},0,1,117,,"[0,0,0]",,
35,10,1,{},0,1,118,,"[50,12100,0]",,
36,11,1,{},0,1,115,,"{""type"":""special_counter"",""is_active"":false}",,
37,11,1,{},0,1,119,,"[0,0,0]",,
38,11,1,{},0,1,120,,"[0,100,0]",,
39,11,1,{},0,1,90,,"[100,0,0]",5011.0,44.0
40,11,1,{},0,1,117,,"[0,0,0]",,
41,12,1,{},0,1,110,,"[15,37,0]",,
42,12,1,{},0,1,110,,"[15,38,0]",,
43,13,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
44,13,1,{},0,1,116,,"{""is_active"":false}",,
45,13,1,{},0,1,118,,"[100,24200,0]",,
46,13,3,{},0,1,9,,"[0,0,0]",5015.0,
47,13,1,{},0,1,103,,"[4028390,0,1791]",,
48,14,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
49,14,1,{},0,1,116,,"{""is_active"":false}",,
50,14,1,{},0,1,118,,"[100,24200,0]",,
51,14,3,{},0,1,9,,"[0,0,0]",5015.0,
52,14,1,{},0,1,103,,"[4028391,0,1792]",,
64,18,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
65,18,1,{},0,1,116,,"{""is_active"":false}",,
66,18,1,{},0,1,117,,"[0,0,0]",,
67,18,1,{},0,1,118,,"[15,600,0]",,
68,19,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
69,19,1,{},0,1,116,,"{""is_active"":false}",,
70,19,1,{},0,1,117,,"[0,0,0]",,
71,19,1,{},0,1,118,,"[20,13360,0]",,
72,20,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
73,20,1,{},0,1,116,,"{""is_active"":false}",,
74,20,1,{},0,1,117,,"[0,0,0]",,
75,20,1,{},0,1,118,,"[15,510,0]",,
76,20,1,{},0,1,130,,"{""is_active"":false}",,
77,21,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
78,21,1,{},0,1,116,,"{""is_active"":false}",,
79,21,1,{},0,1,117,,"[0,0,0]",,
80,21,1,{},0,1,118,,"[15,10000,0]",,
81,21,1,{},0,1,130,,"{""is_active"":false}",,
82,22,1,{},0,1,115,,"{""type"":""charge"",""is_active"":false}",,
83,22,1,{},0,1,116,,"{""is_active"":false}",,
84,22,1,{},0,1,117,,"[0,0,0]",,
85,22,1,{},0,1,118,,"[20,10000,0]",,
86,22,1,{},0,1,76,,"[0,0,0]",,
87,22,1,{},0,1,130,,"{""is_active"":false}",,
88,1,1,{},0,1,110,,"[15,1,0]",,
89,2,1,{},0,1,110,,"[15,5,0]",,
90,3,1,{},0,1,110,,"[15,9,0]",,
91,4,1,{},0,1,110,,"[15,13,0]",,
92,7,1,{},0,1,110,,"[15,21,0]",,
93,8,1,{},0,1,110,,"[15,26,0]",,
94,9,1,{},0,1,110,,"[15,29,0]",,
95,10,1,{},0,1,110,,"[15,32,0]",,
96,13,1,{},0,1,110,,"[15,43,0]",,
97,14,1,{},0,1,110,,"[15,48,0]",,
101,18,1,{},0,1,110,,"[15,64,0]",,
102,19,1,{},0,1,110,,"[15,68,0]",,
103,20,1,{},0,1,110,,"[15,72,0]",,
104,21,1,{},0,1,110,,"[15,77,0]",,
105,22,1,{},0,1,110,,"[15,82,0]",,
