id,dokkan_field_efficacy_set_id,exec_timing_type,efficacy_type,calc_option,turn,is_once,probability,eff_value1,eff_value2,eff_value3,efficacy_values,causality_conditions
1,1,18,121,0,4,0,100,0,0,0,{},
2,2,18,121,0,5,0,100,0,0,0,{},
3,3,18,121,0,5,0,100,0,0,0,{},
4,4,18,121,0,4,0,100,0,0,0,{},
5,5,18,121,0,4,0,100,0,0,0,{},
6,6,18,121,0,3,0,100,0,0,0,{},
7,7,18,121,0,3,0,100,0,0,0,{},
9,9,18,121,0,3,0,100,0,0,0,{},
1000001,1,18,3,2,1,0,100,10,10,0,{},"{""source"":""2530\u00262531"",""compiled"":[""\u0026"",2530,2531]}"
1000002,2,18,122,2,1,0,100,30,0,0,{},"{""source"":""2563"",""compiled"":2563}"
1000003,3,1,122,2,1,0,100,30,0,0,{},"{""source"":""2651"",""compiled"":2651}"
1000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"":""3068"",""compiled"":3068}"
1000005,5,18,3,2,1,0,100,10,10,0,{},"{""source"":""2651"",""compiled"":2651}"
1000006,6,18,3,2,1,0,100,15,15,0,{},"{""source"":""2563"",""compiled"":2563}"
1000007,7,18,3,2,1,0,100,15,15,0,{},"{""source"":""3243"",""compiled"":3243}"
1000009,9,1,3,2,1,0,100,15,15,0,{},"{""source"":""3342"",""compiled"":3342}"
2000001,1,1,3,2,1,0,100,10,10,0,{},"{""source"":""2530\u00262531"",""compiled"":[""\u0026"",2530,2531]}"
2000002,2,1,122,2,1,0,100,30,0,0,{},"{""source"":""2563"",""compiled"":2563}"
2000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"":""3068\u00262651"",""compiled"":[""\u0026"",3068,2651]}"
2000005,5,18,3,2,1,0,100,10,10,0,{},"{""source"":""2651\u00263070|2651\u00263071"",""compiled"":[""|"",[""\u0026"",2651,3070],[""\u0026"",2651,3071]]}"
2000006,6,18,1,2,1,0,100,15,0,0,{},"{""source"":""2563\u00263184"",""compiled"":[""\u0026"",2563,3184]}"
2000007,7,18,122,2,1,0,100,15,0,0,{},"{""source"":""2563"",""compiled"":2563}"
2000009,9,1,122,2,1,0,100,10,0,0,{},"{""source"":""2563"",""compiled"":2563}"
3000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"":""3068"",""compiled"":3068}"
3000005,5,18,122,2,1,0,100,10,0,0,{},"{""source"":""2563"",""compiled"":2563}"
3000006,6,18,129,0,1,0,100,0,0,0,{},"{""source"":""2563"",""compiled"":2563}"
3000007,7,18,122,2,1,0,100,10,0,0,{},"{""source"":""2563\u00263244"",""compiled"":[""\u0026"",2563,3244]}"
3000009,9,1,122,2,1,0,100,15,0,0,{},"{""source"":""2563\u00263343"",""compiled"":[""\u0026"",2563,3343]}"
4000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"":""3068\u00262651"",""compiled"":[""\u0026"",3068,2651]}"
4000005,5,1,3,2,1,0,100,10,10,0,{},"{""source"":""2651"",""compiled"":2651}"
4000006,6,1,3,2,1,0,100,15,15,0,{},"{""source"":""2563"",""compiled"":2563}"
4000007,7,1,3,2,1,0,100,15,15,0,{},"{""source"":""3243"",""compiled"":3243}"
5000005,5,1,3,2,1,0,100,10,10,0,{},"{""source"":""2651\u00263070|2651\u00263071"",""compiled"":[""|"",[""\u0026"",2651,3070],[""\u0026"",2651,3071]]}"
5000006,6,1,1,2,1,0,100,15,0,0,{},"{""source"":""2563\u00263184"",""compiled"":[""\u0026"",2563,3184]}"
5000007,7,1,122,2,1,0,100,15,0,0,{},"{""source"":""2563"",""compiled"":2563}"
6000005,5,1,122,2,1,0,100,10,0,0,{},"{""source"":""2563"",""compiled"":2563}"
6000006,6,1,129,0,1,0,100,0,0,0,{},"{""source"":""2563"",""compiled"":2563}"
6000007,7,1,122,2,1,0,100,10,0,0,{},"{""source"":""2563\u00263244"",""compiled"":[""\u0026"",2563,3244]}"
