id,type,name,description,priority,interval_reset_days,notification_announcement_id,information_announcement_id,gasha_category_id,is_hidden_when_no_currency,timer_layout_type,movie_type,is_rate_visible,open_at,close_at,start_at,end_at
1,Gasha::PointGasha,Friend Summon,Use Friend Points to win a character!,0,,,,,0,0,3,0,2015-01-28 15:00:00,2015-12-31 17:00:00,2015-01-28 15:00:00,2015-12-31 17:00:00
2,Gasha::StoneGasha,Rare Summon,Use 5 Dragon Stones for a Rare or better!,10,,,,,0,0,3,0,2015-06-06 08:00:00,2015-06-16 07:59:59,2015-06-06 08:00:00,2015-06-16 07:59:59
3,Gasha::StoneGasha,Rare Summon,Release Celebration! Chance UP on SRs and above!,10,,,,,0,0,3,0,2015-07-02 08:00:00,2015-07-21 07:59:59,2015-07-02 08:00:00,2015-07-21 07:59:59
4,Gasha::StoneGasha,Rare Summon,Greatly increased chance on the 5 Z-Fighters!,10,,,,,0,0,3,0,2015-05-18 08:00:00,2015-06-12 15:59:00,2015-05-18 08:00:00,2015-06-12 15:59:00
5,Gasha::StoneGasha,Rare Summon,Chance UP for new & SR and above characters!,10,,,,,0,0,3,0,2015-07-22 08:00:00,2015-08-01 07:59:59,2015-07-22 08:00:00,2015-08-01 07:59:59
6,Gasha::StoneGasha,Rare Summon,Use 5 Dragon Stones for a Rare or better!,10,,,,,0,0,3,0,2015-02-27 06:00:00,2015-02-28 05:59:59,2015-02-27 06:00:00,2015-02-28 05:59:59
7,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-08-01 08:00:00,2015-08-14 07:59:00,2015-08-01 08:00:00,2015-08-14 07:59:00
8,Gasha::StoneGasha,Rare Summon,Saiyan chance UP until 2:59 PM on 3/13!,10,,,,,0,0,3,0,2015-06-02 16:00:00,2015-06-07 15:59:59,2015-06-02 16:00:00,2015-06-07 15:59:59
9,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-08-14 08:00:00,2015-09-01 07:59:59,2015-08-14 08:00:00,2015-09-01 07:59:59
10,Gasha::PointGasha,Friend Summon,Z-Awakened characters detected!,0,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
11,Gasha::StoneGasha,Rare Summon,Drop rate UP for new & SR or higher cards! ,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
12,Gasha::StoneGasha,Rare Summon,Chars. with strong Passive Skills: Rate UP!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
13,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-09-01 08:00:00,2015-09-11 07:59:59,2015-09-01 08:00:00,2015-09-11 07:59:59
14,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-08-25 08:00:00,2015-09-01 07:59:59,2015-08-25 08:00:00,2015-09-01 07:59:59
15,Gasha::StoneGasha,Rare Summon,It's a Super Saiyan surplus! Act before 4/18 is over!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
16,Gasha::StoneGasha,Rare Summon,8 new characters + a greatly improved SR and SSR drop rate!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
17,Gasha::StoneGasha,Rare Summon,6 new characters + a greatly improved SR and SSR drop rate!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
18,Gasha::StoneGasha,Rare Summon,Features greatly improved drop rates for movie characters!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
19,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-10-25 08:00:00,2015-11-02 07:59:59,2015-10-25 08:00:00,2015-11-02 07:59:59
20,Gasha::StoneGasha,Rare Summon,Features greatly improved drop rates for movie characters!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
21,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-09-18 08:00:00,2015-09-25 07:59:59,2015-09-18 08:00:00,2015-09-25 07:59:59
22,Gasha::StoneGasha,Rare Summon,Features greatly improved drop rates for movie characters!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
23,Gasha::StoneGasha,Rare Summon,One SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-09-25 08:00:00,2015-10-02 07:59:59,2015-09-25 08:00:00,2015-10-02 07:59:59
24,Gasha::StoneGasha,Rare Summon,Features greatly improved drop rates for movie characters!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
25,Gasha::StoneGasha,Rare Summon,At least one SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-09-11 08:00:00,2015-09-18 07:59:59,2015-09-11 08:00:00,2015-09-18 07:59:59
26,Gasha::StoneGasha,Rare Summon,SR and SSR drop rates improved! Summon those Super Saiyans!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
27,Gasha::StoneGasha,Rare Summon,Features greatly improved drop rates for movie characters!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
28,Gasha::StoneGasha,Rare Summon,Drop rates for SRs and SSRs greatly improved! Act now!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
29,Gasha::StoneGasha,Rare Summon,Improved drop rates for SRs and SSRs! Build your dream team!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
30,Gasha::StoneGasha,Rare Summon,A special offer like no other! Summon 1 of the above 3 SSRs!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
31,Gasha::StoneGasha,Rare Summon,SSR Super Trunks is here! Greatly increased chance of obtaining SSR/SR!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
32,Gasha::StoneGasha,Rare Summon,One SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
33,Gasha::StoneGasha,Rare Summon,A great chance to add Super Saiyan God SS Goku to your team!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
34,Gasha::StoneGasha,Rare Summon,Massively increased chance of getting SSR/SR! Bojack's posse is here!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
35,Gasha::StoneGasha,Rare Summon,"Super Saiyan Festival opens! Super Saiyan 2 Vegeta has arrived!
One SR or Higher GUARANTEED per MULTI-SUMMON",10,,,,,0,0,3,0,2015-12-23 08:10:00,2015-12-29 07:59:59,2015-12-23 08:10:00,2015-12-29 07:59:59
36,Gasha::StoneGasha,Rare Summon,"INCREASED chance to summon SR & SSR characters!
One SR or Higher GUARANTEED per MULTI-SUMMON",90,,,,,0,0,3,0,2015-12-14 08:30:00,2015-12-29 07:59:59,2015-12-14 08:30:00,2015-12-29 07:59:59
37,Gasha::StoneGasha,Rare Summon,"{color : #FFFF00 }The most notorious villains have been resurrected !{color}
One SR or Higher GUARANTEED per MULTI-SUMMON",10,,,,,0,0,3,0,2016-01-15 08:10:00,2016-01-25 07:59:59,2016-01-15 08:10:00,2016-01-25 07:59:59
38,Gasha::StoneGasha,Rare Summon,Greatly increased chance of obtaining SSR/SR! Get Golden Frieza!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
39,Gasha::StoneGasha,Rare Summon,"NEW Super Saiyan God SS Vegeta [SSR] has arrived!
One SR or Higher GUARANTEED per MULTI-SUMMON",10,,,,,0,0,3,0,2015-12-28 05:10:00,2016-01-05 07:59:59,2015-12-28 05:10:00,2016-01-05 07:59:59
40,Gasha::StoneGasha,Rare Summon,One SR GUARANTEED for MULTI-SUMMON,10,,,,,0,0,3,0,2015-12-02 08:30:00,2015-12-11 07:59:59,2015-12-02 08:30:00,2015-12-11 07:59:59
41,Gasha::StoneGasha,Rare Summon,Cooler is has arrived! Massively increased chance of getting SSR/SR!,10,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
42,Gasha::StoneGasha,Rare Summon,"SSR Super Saiyan Gohan (Adult) & SR Gohan (Adult) are here!!
One SR or Higher GUARANTEED per MULTI-SUMMON",10,,,,,0,0,3,0,2015-12-11 08:30:00,2015-12-18 07:59:59,2015-12-11 08:30:00,2015-12-18 07:59:59
43,Gasha::StoneGasha,Rare Summon,{color : #FFFF00}One SSR GUARANTEED{color} with this Premium Summon!!,100,,,,,0,0,3,0,2016-01-29 08:10:00,2016-03-01 07:59:59,2016-01-29 08:10:00,2016-03-01 07:59:59
44,Gasha::PointGasha,Friend Summon,One Z-Awakened character guaranteed per Multi-Summon !,5,,,,,0,0,3,0,2016-01-11 06:00:00,2016-03-11 07:59:59,2016-01-11 06:00:00,2016-03-11 07:59:59
45,Gasha::StoneGasha,Rare Summon,"The Slumbering Power AWAKENED!! {color : #FFFF00 }Ultimate Gohan [SSR]{color}  is here!
One New Character GUARANTEED per MULTI-SUMMON",20,,,,,0,0,3,0,2016-01-19 08:10:00,2016-01-29 07:59:59,2016-01-19 08:10:00,2016-01-29 07:59:59
46,Gasha::StoneGasha,Rare Summon,These 3 SSR characters only! Colossally increased chance of getting SSR/SR!,30,,,,,0,0,3,0,2014-03-20 06:00:00,2014-04-03 05:59:59,2014-03-20 06:00:00,2014-04-03 05:59:59
47,Gasha::StoneGasha,Rare Summon,"{color : #FFFF00 }The God of Destruction vs. Super Saiyan God!!{color}
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-01-05 08:10:00,2016-01-19 07:59:59,2016-01-05 08:10:00,2016-01-19 07:59:59
48,Gasha::StoneGasha,Rare Summon,One SR or Higher GUARANTEED per MULTI-SUMMON,30,,,,,0,0,3,0,2015-01-19 08:10:00,2015-01-29 07:59:59,2015-01-19 08:10:00,2015-01-29 07:59:59
49,Gasha::StoneGasha,Rare Summon,"{color : #FFFF00} Project Team Saiyan launched!{color} Build your own Team Saiyan!
One SR or Higher GUARANTEED per MULTI-SUMMON",10,,,,,0,0,3,0,2016-01-25 08:10:00,2016-02-04 07:59:59,2016-01-25 08:10:00,2016-02-04 07:59:59
50,Gasha::StoneGasha,Rare Summon,"{color : #FFFF00}[SSR] Super Saiyan Goku (GT) and [SSR] Majuub are here !{color} 
        One SR or Higher GUARANTEED per Multi-Summon!",30,,,,,0,0,3,0,2016-02-12 08:10:00,2016-02-21 07:59:59,2016-02-12 08:10:00,2016-02-21 07:59:59
51,Gasha::TicketGasha,Rare Summon,{color : #FFFF00}The World Tournament EXCLUSIVE!{color} DB Saga Summon is here!,3,,,,,1,0,3,0,2016-01-19 08:10:00,2016-02-08 07:59:59,2016-01-19 08:10:00,2016-02-08 07:59:59
52,Gasha::TicketGasha,Rare Summon,Add a super strong{color : #FFFF00} SSR {color}character to your team!,4,,,,,0,0,3,0,2016-12-15 06:30:00,2017-01-03 05:59:59,2016-12-15 06:30:00,2017-01-03 05:59:59
53,Gasha::StoneGasha,Rare Summon,"{color : #FFFF00}3 Days ONLY!{color} Just{color : #FFFF00} 30 Dragon Stones{color} for a Multi-Summon!
     One SR or Higher GUARANTEED per MULTI-SUMMON",80,,,,,0,0,3,0,2016-02-26 08:10:00,2016-02-29 07:59:59,2016-02-26 08:10:00,2016-02-29 07:59:59
54,Gasha::StoneGasha,Rare Summon,"       {color : #FFFF00}TEQ characters’{color} Summon rates INCREASED!
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-03-22 08:00:00,2016-03-25 07:59:59,2016-03-22 08:00:00,2016-03-25 07:59:59
55,Gasha::StoneGasha,Rare Summon,"       {color : #FFFF00}AGL characters’{color} Summon rates INCREASED!
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-03-19 08:00:00,2016-03-22 07:59:59,2016-03-19 08:00:00,2016-03-22 07:59:59
56,Gasha::StoneGasha,Rare Summon,"       {color : #FFFF00}PHY characters’{color} Summon rates INCREASED!
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-03-18 08:00:00,2016-03-21 07:59:59,2016-03-18 08:00:00,2016-03-21 07:59:59
57,Gasha::StoneGasha,Rare Summon,"       {color : #FFFF00}INT characters’{color} Summon rates INCREASED!
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-03-21 08:00:00,2016-03-24 07:59:59,2016-03-21 08:00:00,2016-03-24 07:59:59
58,Gasha::StoneGasha,Rare Summon,"       {color : #FFFF00}STR characters’{color} Summon rates INCREASED!
One SR or Higher GUARANTEED per MULTI-SUMMON",30,,,,,0,0,3,0,2016-03-16 08:10:00,2016-03-19 07:59:59,2016-03-16 08:10:00,2016-03-19 07:59:59
59,Gasha::TicketGasha,Rare Summon,Add a super strong {color : #FFFF00}SR/SSR{color} character to your team!,4,,,,,1,0,3,0,2015-09-12 15:00:00,2015-10-07 14:59:59,2015-09-12 15:00:00,2015-10-07 14:59:59
60,Gasha::StoneGasha,Rare Summon,"    {color : #FFFF00}The Fusion Beyond the Ultimate! SSR Vegito arrives!{color} 
    One SR or Higher GUARANTEED per MULTI-SUMMON",50,,,,,0,0,3,0,2016-03-03 08:10:00,2016-03-13 07:59:59,2016-03-03 08:10:00,2016-03-13 07:59:59
