id,card_count_limit,start_at,end_at,description,banner_image_path,title_bg_image,mission_reward_image_path,entry_charageki_id,rmbattle_bgm_pattern_id,announcement_id,enable_battle_auto
1,100,2018-10-17 06:30:00,2018-11-16 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
2,100,2018-11-17 06:30:00,2018-12-11 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
3,100,2018-12-12 06:30:00,2019-01-14 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
4,100,2019-01-15 06:30:00,2019-02-10 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
5,100,2019-02-11 06:30:00,2019-03-15 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
6,100,2019-03-18 06:30:00,2019-04-16 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
7,100,2019-04-18 06:30:00,2019-05-21 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
8,100,2019-05-23 06:30:00,2019-06-24 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
9,100,2019-06-26 06:30:00,2019-07-21 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
10,112,2019-10-07 06:30:00,2019-11-10 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
11,112,2019-11-12 06:30:00,2019-12-07 06:29:59,"Available daily during the event period! 
Defeat powerful foes with UR-or-higher characters! 
Clear the stages to get ""Battlefield Memory""!",banners/en/dummy_image/dummy_image.png,ef_001,banners/en/news/tour_rank_prize_mission_cell_banner3.png,1,1,,0
