id,title,announcement_id,start_at,end_at
1001,魔の迷宮を脱出せよ！全世界協力キャンペーン,101933,2020-08-28 05:00:00,2020-09-14 14:59:59
1002,界王神界で決着だ！全世界対決キャンペーン,101965,2020-09-15 05:00:00,2020-09-24 14:59:59
1003,作るぜでっかい元気玉！全世界協力キャンペーン,101975,2020-09-25 05:00:00,2020-10-07 14:59:59
1004,愛は宇宙を救う！チーム協力キャンペーン,102302,2021-07-07 00:00:00,2021-07-19 23:59:59
1005,6周年協力キャンペーン,102344,2021-07-20 00:00:00,2021-08-11 23:59:59
1006,悟空にパワーを！サイヤの日記念協力キャンペーン,300250,2021-03-25 05:00:00,2021-04-06 14:59:59
1007,いそげ悟空!!仲間が待つナメック星へ！チーム協力キャンペーン,102484,2021-08-26 06:00:00,2021-09-08 14:59:59
1008,最凶フリーザ！！ナメック星最後の決戦 全世界協力CP,102515,2021-09-23 06:00:00,2021-10-05 14:59:59
1009,敵陣を切り開け！全世界対決キャンペーン,102507,2021-09-09 06:00:00,2021-09-22 14:59:59
1010,大豊作!?畑仕事のお手伝い！チーム協力キャンペーン,102964,2022-07-07 00:00:00,2022-07-19 23:59:59
1011,ウイスに弟子入り!?地球のグルメで攻略せよ！チーム協力CP,102983,2022-07-19 00:00:00,2022-07-31 23:59:59
1012,超サイヤ人ゴッドを超えろ!神次元への挑戦 全ユーザー協力CP,102999,2022-08-01 00:00:00,2022-08-14 23:59:59
1013,つなげ！時を越えたHOPE！全ユーザー協力キャンペーン,103207,2022-11-28 00:00:00,2022-12-10 23:59:59
1014,クウラから地球を守れ！全世界協力キャンペーン,103054,2022-08-26 06:00:00,2022-09-07 14:59:59
1015,鋼鉄の要塞から仲間を救え！全世界協力キャンペーン,103082,2022-09-09 06:00:00,2022-09-21 14:59:59
1016,ビッグゲテスターを破壊せよ！全世界協力キャンペーン,103105,2022-09-22 06:00:00,2022-10-05 14:59:59
1017,立ち上がれレジスタンス！全ユーザー協力キャンペーン,300602,2023-08-25 06:00:00,2023-09-06 14:59:59
1018,立ち上がれレジスタンス！全ユーザー協力キャンペーン 第2弾,300610,2023-09-08 06:00:00,2023-09-20 14:59:59
1019,立ち上がれレジスタンス！全ユーザー協力キャンペーン 第3弾,300611,2023-09-22 06:00:00,2023-10-04 14:59:59
1020,目覚めよ闘争本能！全ユーザー協力キャンペーン,300001,2024-08-28 06:00:00,2024-09-09 14:59:59
