id,googleplay_achievement_id,dev_googleplay_achievement_id,gamecenter_achievement_id,dev_gamecenter_achievement_id,condition_type,target_value
1,CggIz_TM83wQAhAB,CggIz_TM83wQAhAB,TutorialClear_GL,TutorialClear_GL,1,1
2,CggIz_TM83wQAhAC,CggIz_TM83wQAhAC,Rank20_GL,Rank20_GL,2,20
3,CggIz_TM83wQAhAD,CggIz_TM83wQAhAD,Rank150_GL,Rank150_GL,2,150
4,CggIz_TM83wQAhAE,CggIz_TM83wQAhAE,Rank500_GL,Rank500_GL,2,500
5,CggIz_TM83wQAhAF,CggIz_TM83wQAhAF,UserScore5_GL,UserScore5_GL,6,5
6,CggIz_TM83wQAhAG,CggIz_TM83wQAhAG,UserScore42000_GL,UserScore42000_GL,6,42000
7,CggIz_TM83wQAhAH,CggIz_TM83wQAhAH,UserScore530000_GL,UserScore530000_GL,6,530000
8,CggIz_TM83wQAhAI,CggIz_TM83wQAhAI,MaxDamage1000_GL,MaxDamage1000_GL,3,10000000
9,CggIz_TM83wQAhAJ,CggIz_TM83wQAhAJ,MaxDamage5000_GL,MaxDamage5000_GL,3,50000000
10,CggIz_TM83wQAhAK,CggIz_TM83wQAhAK,MaxDamage9999_GL,MaxDamage9999_GL,3,99999999
11,CggIz_TM83wQAhAL,CggIz_TM83wQAhAL,CardUR6_GL,CardUR6_GL,4,6
12,CggIz_TM83wQAhAM,CggIz_TM83wQAhAM,CardUR50_GL,CardUR50_GL,4,50
13,CggIz_TM83wQAhAN,CggIz_TM83wQAhAN,CardUR100_GL,CardUR100_GL,4,100
14,CggIz_TM83wQAhAO,CggIz_TM83wQAhAO,CardLR10_GL,CardLR10_GL,5,10
15,CggIz_TM83wQAhAP,CggIz_TM83wQAhAP,CardLR50_GL,CardLR50_GL,5,50
16,CggIz_TM83wQAhAQ,CggIz_TM83wQAhAQ,CardPotential6_GL,CardPotential6_GL,7,6
17,CggIz_TM83wQAhAR,CggIz_TM83wQAhAR,CardPotential50_GL,CardPotential50_GL,7,50
