id,dokkan_field_efficacy_set_id,exec_timing_type,efficacy_type,calc_option,turn,is_once,probability,eff_value1,eff_value2,eff_value3,efficacy_values,causality_conditions
1,1,18,121,0,4,0,100,0,0,0,{},
2,2,18,121,0,5,0,100,0,0,0,{},
3,3,18,121,0,5,0,100,0,0,0,{},
4,4,18,121,0,4,0,100,0,0,0,{},
5,5,18,121,0,4,0,100,0,0,0,{},
6,6,18,121,0,3,0,100,0,0,0,{},
7,7,18,121,0,3,0,100,0,0,0,{},
8,8,18,121,0,3,0,100,0,0,0,{},
9,9,18,121,0,3,0,100,0,0,0,{},
10,10,18,121,0,5,0,100,0,0,0,{},
11,11,18,121,0,3,0,100,0,0,0,{},
1000001,1,18,3,2,1,0,100,10,10,0,{},"{""source"": ""2530&2531"", ""compiled"": [""&"", 2530, 2531]}"
1000002,2,18,122,2,1,0,100,30,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
1000003,3,1,122,2,1,0,100,30,0,0,{},"{""source"": ""2651"", ""compiled"": 2651}"
1000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"": ""3068"", ""compiled"": 3068}"
1000005,5,18,3,2,1,0,100,10,10,0,{},"{""source"": ""2651"", ""compiled"": 2651}"
1000006,6,18,3,2,1,0,100,15,15,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
1000007,7,18,3,2,1,0,100,15,15,0,{},"{""source"": ""3243"", ""compiled"": 3243}"
1000008,8,18,3,2,1,0,100,15,15,0,{},"{""source"": ""3365|3366"", ""compiled"": [""|"", 3365, 3366]}"
1000009,9,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3342"", ""compiled"": 3342}"
1000010,10,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3465"", ""compiled"": 3465}"
1000011,11,18,3,2,1,0,100,25,0,0,{},"{""source"": ""3512|3513|3514"", ""compiled"": [""|"", 3512, 3513, 3514]}"
2000001,1,1,3,2,1,0,100,10,10,0,{},"{""source"": ""2530&2531"", ""compiled"": [""&"", 2530, 2531]}"
2000002,2,1,122,2,1,0,100,30,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
2000004,4,18,3,2,1,0,100,10,10,0,{},"{""source"": ""3068&2651"", ""compiled"": [""&"", 3068, 2651]}"
2000005,5,18,3,2,1,0,100,10,10,0,{},"{""source"": ""2651&3070|2651&3071"", ""compiled"": [""|"", [""&"", 2651, 3070], [""&"", 2651, 3071]]}"
2000006,6,18,1,2,1,0,100,15,0,0,{},"{""source"": ""2563&3184"", ""compiled"": [""&"", 2563, 3184]}"
2000007,7,18,122,2,1,0,100,15,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
2000008,8,18,3,2,1,0,100,15,15,0,{},"{""source"": ""3367"", ""compiled"": 3367}"
2000009,9,1,122,2,1,0,100,10,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
2000010,10,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3466|3467"", ""compiled"": [""|"", 3466, 3467]}"
2000011,11,18,122,2,1,0,100,20,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
3000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"": ""3068"", ""compiled"": 3068}"
3000005,5,18,122,2,1,0,100,10,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
3000006,6,18,129,0,1,0,100,0,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
3000007,7,18,122,2,1,0,100,10,0,0,{},"{""source"": ""2563&3244"", ""compiled"": [""&"", 2563, 3244]}"
3000008,8,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3365|3366"", ""compiled"": [""|"", 3365, 3366]}"
3000009,9,1,122,2,1,0,100,15,0,0,{},"{""source"": ""2563&3343"", ""compiled"": [""&"", 2563, 3343]}"
3000011,11,1,3,2,1,0,100,25,0,0,{},"{""source"": ""3512|3513|3514"", ""compiled"": [""|"", 3512, 3513, 3514]}"
4000004,4,1,3,2,1,0,100,10,10,0,{},"{""source"": ""3068&2651"", ""compiled"": [""&"", 3068, 2651]}"
4000005,5,1,3,2,1,0,100,10,10,0,{},"{""source"": ""2651"", ""compiled"": 2651}"
4000006,6,1,3,2,1,0,100,15,15,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
4000007,7,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3243"", ""compiled"": 3243}"
4000008,8,1,3,2,1,0,100,15,15,0,{},"{""source"": ""3367"", ""compiled"": 3367}"
4000011,11,1,122,2,1,0,100,20,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
5000005,5,1,3,2,1,0,100,10,10,0,{},"{""source"": ""2651&3070|2651&3071"", ""compiled"": [""|"", [""&"", 2651, 3070], [""&"", 2651, 3071]]}"
5000006,6,1,1,2,1,0,100,15,0,0,{},"{""source"": ""2563&3184"", ""compiled"": [""&"", 2563, 3184]}"
5000007,7,1,122,2,1,0,100,15,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
5000011,11,18,122,2,1,0,100,10,0,0,{},"{""source"": ""2563&3526|2563&3527|2563&3528"", ""compiled"": [""|"", [""&"", 2563, 3526], [""&"", 2563, 3527], [""&"", 2563, 3528]]}"
6000005,5,1,122,2,1,0,100,10,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
6000006,6,1,129,0,1,0,100,0,0,0,{},"{""source"": ""2563"", ""compiled"": 2563}"
6000007,7,1,122,2,1,0,100,10,0,0,{},"{""source"": ""2563&3244"", ""compiled"": [""&"", 2563, 3244]}"
6000011,11,1,122,2,1,0,100,10,0,0,{},"{""source"": ""2563&3526|2563&3527|2563&3528"", ""compiled"": [""|"", [""&"", 2563, 3526], [""&"", 2563, 3527], [""&"", 2563, 3528]]}"
