id,type,mission_category_id,name,panel_name,priority,orderer_id,description,target_value,display_target_value,target_100_value,conditions,link_to,area_id,z_battle_stage_id,origin_episode_id,origin_battle_id,start_at,end_at,end_at_hidden
101,Mission::CardTrainingMission::CountMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-07-07 06:30:00,2018-08-13 05:59:59,1
102,Mission::ClientSideMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""quest_event_switch"": 3}",,,,,,2018-07-08 06:30:00,2018-08-13 05:59:59,1
103,Mission::QuestAndZBattleClearMission::CountMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""card_unique_info_ids"": [7]}",,,,,,2018-07-09 06:30:00,2018-08-13 05:59:59,1
104,Mission::ClientSideMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""make_friends_self"": 1}",,,,,,2018-07-10 06:30:00,2018-08-13 05:59:59,1
105,Mission::ClientSideMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""scouter_break_gasha_ids"": [76, 134, 309, 354, 393, 6900, 7010, 7199, 7510, 7520, 7528, 7530, 7538, 7540, 7542, 7550, 7560, 7562, 7564, 7566, 7568, 7570, 7572, 7574, 7576, 7578]}",,,,,,2018-07-11 06:30:00,2018-08-13 05:59:59,1
106,Mission::QuestAndZBattleClearMission::CountMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""sugoroku_map_ids"": [1110010, 1110011, 1110012, 1110020, 1110021, 1110022, 1110030, 1110031, 1110032, 1110040, 1110041, 1110042, 1110050, 1110051, 1110052]}",,,,,,2018-07-12 06:30:00,2018-08-13 05:59:59,1
107,Mission::ClientSideMission,7,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""banner_img"": ""https://d3bb21colkb6no.cloudfront.net/images/home/myp_banner_plain_camp_dragonball_20180129.png"", ""tap_banner"": 1}",,,,,,2018-07-13 06:30:00,2018-08-13 05:59:59,1
108,Mission::ClientSideMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""character_list_fast_scroll"": 1}",,,,,,2018-07-14 06:30:00,2018-08-13 05:59:59,1
109,Mission::CardAwakeningMission::CountMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""awakening_item_id"": 9}",,,,,,2018-07-15 06:30:00,2018-08-13 05:59:59,1
110,Mission::ClientSideMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""revolver_rotate"": 7}",,,,,,2018-07-16 06:30:00,2018-08-13 05:59:59,1
111,Mission::GashaDrawMission::CountMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""types"": [""Gasha::PointGasha""]}",,,,,,2018-07-17 06:30:00,2018-08-13 05:59:59,1
112,Mission::BattleStartMission::UseActMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",50,,,{},,,,,,2018-07-18 06:30:00,2018-08-13 05:59:59,1
113,Mission::ExchangePointShopExchangeMission::GetItemsMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-07-19 06:30:00,2018-08-13 05:59:59,1
114,Mission::CardAwakeningMission::ZCountMission,8,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-07-20 06:30:00,2018-08-13 05:59:59,1
115,Mission::QuestAndZBattleClearMission::CountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""area_category_ids"": [10]}",,,,,,2018-07-21 06:30:00,2018-08-13 05:59:59,1
116,Mission::CardAwakeningMission::DokkanCountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-07-22 06:30:00,2018-08-13 05:59:59,1
117,Mission::ClientSideMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""enter_pilaf_shop"": 1}",,,,,,2018-07-23 06:30:00,2018-08-13 05:59:59,1
118,Mission::QuestAndZBattleClearMission::CountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""sugoroku_map_ids"": [1200010, 1200011, 1200012, 1200020, 1200021, 1200022]}",,,,,,2018-07-24 06:30:00,2018-08-13 05:59:59,1
119,Mission::QuestAndZBattleClearMission::CountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""sugoroku_map_ids"": [1400012, 1410012, 1420012, 1430012, 1440012, 1490012, 1490022, 1490032, 1490042, 1490052, 1460012, 1460022, 1460032, 1460042, 1460052]}",,,,,,2018-07-25 06:30:00,2018-08-13 05:59:59,1
120,Mission::CardPotentialReleaseMission::ReleaseCountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-07-26 06:30:00,2018-08-13 05:59:59,1
