id,origin_battle_id,card_id,passive_skill_set_id
1,20010101,1022941,10000
2,20010101,4022951,10000
3,20010102,1029571,10001
4,20010131,1029591,10002
5,20010201,1015001,10003
6,20010202,1029571,10000
7,20010203,1014991,10004
8,20010301,1014991,10005
9,20010302,1022941,10011
10,20010302,4022951,10011
11,20010331,1013071,10006
12,20010303,1014991,10007
13,20010303,1022941,10008
14,20010303,4022951,10008
15,20010332,1013011,10009
16,20010304,1032751,10012
17,20010305,1032761,10012
18,20010401,1032761,10012
19,20010431,1017471,10010
20,20010402,1022941,10034
21,20010402,4022951,10034
22,20010403,1023041,10016
23,20010404,1023041,10014
24,20010404,4023051,10014
25,20010432,1013101,10015
26,20010501,1023041,10016
27,20010501,4023051,10016
28,20010502,1022881,10017
29,20010502,4022891,10018
30,20010503,1014681,10019
31,20010503,4014691,10020
32,20010531,1009381,10021
33,20010532,1017161,10022
34,20010601,1029701,10023
35,20010601,4029711,10023
36,20010432,1032821,10028
37,20010502,1029701,10029
38,20010603,1023041,10025
39,20010603,4023051,10026
40,20010602,4023051,10027
41,20010602,1023041,10024
42,20010502,4029711,10030
43,20010502,1023041,10031
44,20010502,4023051,10032
45,20010603,1022631,10033
46,20010403,4023051,10016
