id,rmbattle_help_id,image_path,description
1,2,,"Virtual Dokkan Ultimate Clash Ver. 3.0 is a new battle mode 
available to players {color: #FFFF00}who have completed Board 1 of the 
Intermediate Panel Missions{color}."
2,2,images/en/help/rmb_help_014.png,"Continues, Support Items and Support Memories 
are NOT allowed in this mode. However, {color: #FFFF00}challenging 
this mode does not consume STA{color}."
3,3,,"All characters are eligible to participate in 
Virtual Dokkan Ultimate Clash Ver. 3.0.
However, {color: #FFFF00}there is a limit{color} on the total number of 
characters that can be deployed to clear all levels.

Reaching the character deployment limit before clearing 
all levels will result in Game Over.

The number of characters available for deployment can 
be checked at the bottom of the stage-selection screen."
4,3,images/en/help/rmb_help_015.png,"{color: #FFFF00}* The number of characters that can be deployed 
varies between events.{color}
{color: #FFFF00}* In certain events, there may be no limits on 
the number of deployable characters.{color}"
5,4,images/en/help/rmb_help_003.png,"After defeating each enemy that appears 
around the ""?"" tile, the boss will show up.
Defeat the boss to clear the level.

Complete every level to clear the game mode!"
6,5,,You can select up to 7 characters to take into battle.
7,5,images/en/help/rmb_help_004.png,"Of these 7 characters, the first selected becomes the leader, 
while the second will become the {color: #FFFF00}sub-leader{color}. 
Both characters {color: #FFFF00}can activate 
their Leader Skills{color} in the battle."
8,5,images/en/help/rmb_help_016.png,"Identical characters cannot be brought into the same battle. 
However, {color: #FFFF00}characters with the same character name 
but different second names can{color}."
9,6,,"Unlike regular battles, Continues, Support Items and 
Support Memories are NOT allowed in this mode."
10,6,images/en/help/rmb_help_017.png,"Characters that have participated in a battle cannot be 
used again before you get a Game Over.

Even if you lose, the enemy's HP will be carried over into 
the next battle as long as you do not get a Game Over.

* If the enemy restores more HP than the damage received,
the damage dealt will be displayed as a negative number in 
""Battle History""."
13,7,,"Tap the ""Retire"" button on the main screen of the mode 
to instantly quit the current Ultimate Clash attempt.
If you wish to rechallenge the Ultimate Clash you have 
retired from, you will start over from Level 1."
14,7,images/en/help/rmb_help_018.png,"If you retire, or lose and get a Game Over, 
rewards for the incomplete stage will be forfeited."
15,8,,"You can receive ""Mission Rewards"" 
by meeting certain requirements."
16,8,images/en/help/rmb_help_019.png,"Details such as mission objectives and rewards can be 
checked by tapping the ""Mission"" button on either the 
main screen or the stage-selection screen."
24,9,,"You can acquire the Treasure Item ""Battlefield Memory"" 
in various ways, including as a reward for clearing 
each stage for the first time. They will remain after 
the event period ends, allowing you to use them 
in subsequent events! 

If you need a lot of ""Battlefield Memories"" 
to make an exchange, don't use them after 
an Ultimate Clash ends. Instead, try to collect 
the rest that you need in subsequent Ultimate Clashes!"
