id,root_support_memory_id,level,support_memory_id,enhanced_support_memory_id
1,10001,2,10001,100012
2,10001,3,100012,100013
3,20001,2,20001,200012
4,20001,3,200012,200013
5,30001,2,30001,300012
6,30001,3,300012,300013
7,40001,2,40001,400012
8,40001,3,400012,400013
9,50001,2,50001,500012
10,50001,3,500012,500013
11,20008,2,20008,200082
12,20008,3,200082,200083
13,20008,4,200083,200084
14,20008,5,200084,200085
15,30005,2,30005,300052
16,30005,3,300052,300053
17,30005,4,300053,300054
18,30005,5,300054,300055
19,20011,2,20011,200112
20,20011,3,200112,200113
21,20011,4,200113,200114
22,20011,5,200114,200115
23,40005,2,40005,400052
24,40005,3,400052,400053
25,40005,4,400053,400054
26,40005,5,400054,400055
27,40004,2,40004,400042
28,40004,3,400042,400043
29,40004,4,400043,400044
30,40004,5,400044,400045
31,10002,2,10002,100022
32,10002,3,100022,100023
33,50007,2,50007,500072
34,50007,3,500072,500073
35,50007,4,500073,500074
36,50007,5,500074,500075
37,20004,2,20004,200042
38,20004,3,200042,200043
39,20004,4,200043,200044
40,20004,5,200044,200045
41,50004,2,50004,500042
42,50004,3,500042,500043
43,50004,4,500043,500044
44,50004,5,500044,500045
45,50003,2,50003,500032
46,50003,3,500032,500033
47,40002,2,40002,400022
48,40002,3,400022,400023
49,40002,4,400023,400024
50,40002,5,400024,400025
51,50005,2,50005,500052
52,50005,3,500052,500053
53,50005,4,500053,500054
54,50005,5,500054,500055
55,40008,2,40008,400082
56,40008,3,400082,400083
57,40008,4,400083,400084
58,40008,5,400084,400085
59,40006,2,40006,400062
60,40006,3,400062,400063
61,10005,2,10005,100052
62,10005,3,100052,100053
63,10005,4,100053,100054
64,10005,5,100054,100055
65,40003,2,40003,400032
66,40003,3,400032,400033
67,50002,2,50002,500022
68,50002,3,500022,500023
69,50002,4,500023,500024
70,50002,5,500024,500025
71,20002,2,20002,200022
72,20002,3,200022,200023
73,20002,4,200023,200024
74,20002,5,200024,200025
75,20012,2,20012,200122
76,20012,3,200122,200123
77,20012,4,200123,200124
78,20012,5,200124,200125
79,20020,2,20020,200202
80,20020,3,200202,200203
81,40011,2,40011,400112
82,40011,3,400112,400113
83,40010,2,40010,400102
84,40010,3,400102,400103
85,40010,4,400103,400104
86,40010,5,400104,400105
87,10006,2,10006,100062
88,10006,3,100062,100063
89,10006,4,100063,100064
90,10006,5,100064,100065
91,20016,2,20016,200162
92,20016,3,200162,200163
93,40007,2,40007,400072
94,40007,3,400072,400073
95,30008,2,30008,300082
96,30008,3,300082,300083
97,30004,2,30004,300042
98,30004,3,300042,300043
99,30004,4,300043,300044
100,30004,5,300044,300045
101,50016,2,50016,500162
102,50016,3,500162,500163
103,10003,2,10003,100032
