id,origin_spot_id,bgm_id,background_id,first_clear_bonus_stones,act,user_exp,zeni,link_skill_lv_up_prob_rate,enable_battle_auto,origin_battle_reward_set_id,heat_up_gimmick_set_id,cpu_friend_list_id,unlock_mission_ids,limitation_announcement_id,enemy_info_display_type
20010101,20010101,27,4,1,10,10000,100000,0.5,1,1.0,101,669,,,0
20010102,20010102,27,4,1,10,10000,100000,0.5,1,1.0,101,670,,,0
20010131,20010131,390,4,1,10,10000,100000,0.5,1,1.0,102,671,[32181],,0
20010201,20010201,29,4,1,10,10000,100000,0.5,1,1.0,114,672,,,0
20010202,20010202,29,4,1,10,10000,100000,0.5,1,1.0,103,670,,,0
20010203,20010203,31,4,1,10,10000,100000,0.5,1,1.0,104,673,,,0
20010301,20010301,32,4,1,10,10000,100000,0.5,1,1.0,105,673,,,0
20010302,20010302,27,4,1,10,10000,100000,0.5,1,1.0,106,669,,,0
20010303,20010303,8,4,1,10,10000,100000,0.5,1,1.0,108,675,,,0
20010304,20010304,8,4,1,10,10000,100000,0.5,1,1.0,110,677,,,0
20010305,20010305,27,4,1,10,10000,100000,0.5,1,1.0,111,678,,,0
20010331,20010331,153,4,1,10,10000,100000,0.5,1,1.0,107,674,[32182],,0
20010332,20010332,389,4,1,10,10000,100000,0.5,1,1.0,109,676,[32183],,0
20010401,20010401,349,4,1,10,10000,100000,0.5,1,1.0,112,678,,,0
20010402,20010402,350,4,1,10,10000,100000,0.5,1,1.0,115,669,,,0
20010403,20010403,27,4,1,10,10000,100000,0.5,1,1.0,116,680,,,0
20010404,20010404,185,4,1,10,10000,100000,0.5,1,1.0,117,680,,,0
20010431,20010431,342,4,1,10,10000,100000,0.5,1,1.0,113,679,[32184],,0
20010432,20010432,183,4,1,10,10000,100000,0.5,1,1.0,118,681,[33137],,0
20010501,20010501,8,4,1,10,10000,100000,0.5,1,1.0,119,680,,,0
20010502,20010502,27,4,1,10,10000,100000,0.5,1,1.0,120,683,,,0
20010503,20010503,32,4,1,10,10000,100000,0.5,1,1.0,121,684,,,0
20010531,20010531,389,4,1,10,10000,100000,0.5,1,1.0,122,682,[33138],,0
20010532,20010532,73,4,1,10,10000,100000,0.5,1,1.0,123,685,[33139],,0
20010601,20010601,61,4,1,10,10000,100000,0.5,1,1.0,124,686,,,0
20010602,20010602,61,4,1,10,10000,100000,0.5,1,1.0,125,680,,,0
20010603,20010603,61,4,1,10,10000,100000,0.5,1,1.0,126,687,,,0
20010701,20010701,61,4,1,10,10000,100000,0.5,1,1.0,127,688,,,0
20010702,20010702,61,4,1,10,10000,100000,0.5,1,1.0,128,689,,,0
20010703,20010703,61,4,1,10,10000,100000,0.5,1,1.0,129,690,,,0
20010704,20010704,61,4,1,10,10000,100000,0.5,1,1.0,130,691,,,0
20010731,20010731,156,4,1,10,10000,100000,0.5,1,1.0,131,692,[33233],,0
20010732,20010732,153,4,1,10,10000,100000,0.5,1,1.0,132,693,[33241],,0
20010801,20010801,151,42,1,10,10000,100000,0.5,1,1.0,145,698,,,0
20010802,20010802,151,42,1,10,10000,100000,0.5,1,1.0,146,699,,,0
990010101,990010101,29,25,1,10,10000,100000,0.5,1,,133,696,,,0
990010102,990010102,92,188,1,10,10000,100000,0.5,1,,134,696,,,0
990010103,990010103,27,190,1,10,10000,100000,0.5,1,,136,696,,,0
990010104,990010104,31,29,1,10,10000,100000,0.5,1,,137,696,,,0
990010131,990010131,214,175,1,10,10000,100000,0.5,1,,135,696,[33465],,0
990010201,990010201,27,14,1,10,10000,100000,0.5,1,,138,696,,,0
990010202,990010202,92,25,1,10,10000,100000,0.5,1,,140,696,,,0
990010203,990010203,163,25,1,10,10000,100000,0.5,1,,142,696,,,0
990010231,990010231,74,121,1,10,10000,100000,0.5,1,,139,696,[33466],,0
990010232,990010232,257,22,1,10,10000,100000,0.5,1,,141,696,[33478],,0
990010301,990010301,215,2006,1,10,10000,100000,0.5,1,,143,696,,,0
990010302,990010302,365,2005,1,10,10000,100000,0.5,1,,144,696,,,0
