sugoroku_map_id,enemy_info
10,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000580, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10000,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1003730, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10001,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1003730, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10002,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1003731, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10010,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000760, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10011,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000760, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10012,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000760, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10020,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000800, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10021,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000800, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10022,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000800, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10030,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1001030, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10031,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1001030, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10032,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1001030, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10040,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000770, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10041,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000770, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10042,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000770, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10050,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000340, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10051,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000340, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
10052,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000340, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20010,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000450, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20011,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000450, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20012,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000450, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
20020,"{""battles"": [{""rounds"": [{""comment"": null, ""enemies"": [{""card_id"": 1000800, ""enemy_skill_ids"": [], ""enemy_round_skill_set_id"": null}], ""round_no"": 1}]}], ""display_type"": ""normal""}"
