id,name,exec_timing_type,efficacy_type,target_type,sub_target_type_set_id,passive_skill_effect_id,calc_option,turn,is_once,probability,causality_conditions,eff_value1,eff_value2,eff_value3,efficacy_values
1,Barrage,9,1,1,0,,2,4,0,100,"{""source"": ""13"", ""compiled"": 13}",25,0,0,{}
4,Saiyan's Pride,1,5,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",2,0,0,{}
6,Prince's Pride,1,1,1,0,,2,1,0,100,"{""source"": ""15"", ""compiled"": 15}",40,0,0,{}
10,Rapid,1,20,2,0,,0,1,0,100,,0,1,0,{}
11,Resolved Choice,4,5,1,0,,0,1,0,100,"{""source"": ""17"", ""compiled"": 17}",3,0,0,{}
13,First Attack,4,2,3,0,,3,1,0,100,,50,0,0,{}
14,Hidden Power,1,1,1,0,,2,1,0,10,,25,0,0,{}
15,Captain's Character,1,3,1,0,,2,1,0,7,,50,50,0,{}
17,Kill Them All,1,1,1,0,,2,1,0,100,"{""source"": ""18"", ""compiled"": 18}",50,0,0,{}
18,Energy Absorption,5,28,1,0,,0,1,0,100,"{""source"": ""19"", ""compiled"": 19}",15,0,0,{}
19,Energy Absorption,5,28,1,0,,0,1,0,100,"{""source"": ""20"", ""compiled"": 20}",25,0,0,{}
20,Full Power,1,1,1,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",25,0,0,{}
22,United We Stand,3,53,3,0,,0,3,0,7,,0,0,0,{}
23,Master's Teachings,1,5,2,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1,0,0,{}
24,Assassin's Pride,1,5,1,0,,0,1,0,100,,1,0,0,{}
25,Pinky Swear,1,16,4,0,,3,1,0,100,,4,30,0,{}
26,Eliminate Them!,1,5,1,0,,0,1,0,100,"{""source"": ""22"", ""compiled"": 22}",2,0,0,{}
27,Full Power,1,1,1,0,,0,1,0,100,"{""source"": ""23"", ""compiled"": 23}",2500,0,0,{}
28,Paralysis,7,2,4,0,,3,3,0,100,"{""source"": ""24"", ""compiled"": 24}",100,0,0,{}
29,Fastest Thing Alive,3,5,1,0,,0,1,0,100,"{""source"": ""25"", ""compiled"": 25}",2,0,0,{}
30,Teamwork,11,1,2,0,,0,1,0,100,"{""source"": ""26"", ""compiled"": 26}",1000,0,0,{}
31,Buying Time,1,4,1,0,,2,1,0,100,"{""source"": ""27"", ""compiled"": 27}",10,0,0,{}
32,Unexpected Attack,3,2,4,0,,3,1,0,10,,50,0,0,{}
33,Perspiration,4,1,1,0,,0,1,0,100,"{""source"": ""28"", ""compiled"": 28}",1500,0,0,{}
34,Perfect Guard,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
35,Super Power,1,1,1,0,,2,1,0,7,,50,0,0,{}
36,Dormant Saiyan Power,1,1,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",1500,0,0,{}
37,Earthling's Pride,1,2,1,0,,0,1,0,100,"{""source"": ""9"", ""compiled"": 9}",2000,0,0,{}
38,Playing Dead,1,4,1,0,,2,1,0,10,,10,0,0,{}
39,Restraint,1,9,4,0,,0,1,0,7,,0,0,0,{}
40,Supernatural Power,1,1,4,0,,3,1,0,7,,15,0,0,{}
41,Somber Premonition,1,2,4,0,,3,1,0,10,,50,0,0,{}
42,Latent Power,3,1,1,0,,0,1,0,100,"{""source"": ""31"", ""compiled"": 31}",1500,0,0,{}
43,Teamwork,3,1,2,0,,0,1,0,100,,1000,0,0,{}
44,Energy Absorption,5,28,1,0,,2,1,0,100,,10,0,0,{}
46,Overwhelming Pressure,4,24,3,0,,0,1,0,100,,0,0,0,{}
47,Perfect Guard,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
48,Perfect Form,1,50,1,0,,0,99,0,100,,0,0,0,{}
49,Latent Power,4,1,1,0,,0,1,0,100,"{""source"": ""31"", ""compiled"": 31}",2500,0,0,{}
50,Super Power,1,1,1,0,,2,1,0,7,,50,0,0,{}
51,Time Freeze,1,9,4,0,,0,1,0,7,,0,0,0,{}
52,Right Behind You,1,5,1,0,,0,1,0,100,,1,0,0,{}
