id,quest_id,difficulties,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,item5_id,item5_type,item6_id,item6_type
1001,902003,"[0, 2]",2,TreasureItem,,,,,,,,,,
1002,902004,"[0, 2]",2,TreasureItem,,,,,,,,,,
1003,902010,"[0, 2]",2,TreasureItem,,,,,,,,,,
1004,912001,"[0, 2]",3,TreasureItem,,,,,,,,,,
1005,912002,"[0, 2]",3,TreasureItem,,,,,,,,,,
1006,912003,"[0, 2]",3,TreasureItem,,,,,,,,,,
1007,912005,"[0, 2]",3,TreasureItem,,,,,,,,,,
1008,912006,"[0, 2]",3,TreasureItem,,,,,,,,,,
1009,912007,"[0, 2]",3,TreasureItem,,,,,,,,,,
1010,923002,"[0, 2]",3,TreasureItem,,,,,,,,,,
1011,923003,[0],3,TreasureItem,,,,,,,,,,
1012,923004,[0],3,TreasureItem,,,,,,,,,,
1013,923005,[0],3,TreasureItem,,,,,,,,,,
1014,923006,[0],3,TreasureItem,,,,,,,,,,
1015,28001,"[1, 2, 3]",22,TreasureItem,,,,,,,,,,
1016,29001,"[1, 2, 3]",1,TreasureItem,,,,,,,,,,
1017,29002,"[1, 2, 3]",22,TreasureItem,,,,,,,,,,
1018,31001,"[1, 2, 3]",1,TreasureItem,,,,,,,,,,
1019,30007,"[1, 2]",1803,EquipmentSkillItem,1804.0,EquipmentSkillItem,1805.0,EquipmentSkillItem,1806.0,EquipmentSkillItem,1807.0,EquipmentSkillItem,1808.0,EquipmentSkillItem
1020,224001,[1],1,TreasureItem,,,,,,,,,,
1021,32002,[3],22,TreasureItem,,,,,,,,,,
1022,32003,[3],22,TreasureItem,,,,,,,,,,
1023,291001,[2],67,PotentialItem,68.0,PotentialItem,69.0,PotentialItem,19301.0,AwakeningItem,,,,
1024,291002,[2],70,PotentialItem,71.0,PotentialItem,72.0,PotentialItem,19401.0,AwakeningItem,,,,
1025,291003,[2],73,PotentialItem,74.0,PotentialItem,75.0,PotentialItem,19501.0,AwakeningItem,,,,
1026,291004,[2],76,PotentialItem,77.0,PotentialItem,78.0,PotentialItem,19601.0,AwakeningItem,,,,
1027,291005,[2],79,PotentialItem,80.0,PotentialItem,81.0,PotentialItem,19701.0,AwakeningItem,,,,
1028,292001,[2],25,PotentialItem,26.0,PotentialItem,27.0,PotentialItem,153001.0,AwakeningItem,,,,
1029,292002,[2],28,PotentialItem,29.0,PotentialItem,30.0,PotentialItem,154001.0,AwakeningItem,,,,
1030,292003,[2],31,PotentialItem,32.0,PotentialItem,33.0,PotentialItem,155001.0,AwakeningItem,,,,
1031,292004,[2],34,PotentialItem,35.0,PotentialItem,36.0,PotentialItem,156001.0,AwakeningItem,,,,
1032,292005,[2],37,PotentialItem,38.0,PotentialItem,39.0,PotentialItem,157001.0,AwakeningItem,,,,
1033,1202001,[1],1007360,Card,13501.0,AwakeningItem,13502.0,AwakeningItem,,,,,,
1034,1205001,[1],7465,EquipmentSkillItem,7485.0,EquipmentSkillItem,,,,,,,,
