id,origin_battle_round_id,play_timing,starter_card_id,starter_type,starter_bg_type,starter_playback_frame,starter_character_asset_id,starter_phrase_asset_id,starter_voice_asset_id,responder_card_id,responder_type,responder_bg_type,responder_playback_frame,responder_character_asset_id,responder_phrase_asset_id,responder_voice_asset_id,is_bg_reverse,is_character_asset_lwf,is_shown_on_lost
1,200101011,0,1000791,1,1,330,2001001,2001001,5006,1022941.0,0.0,0.0,100.0,2001002.0,2001002.0,5007.0,0,0,1
2,200101021,0,9129591,1,1,210,2001003,2001003,5008,1029571.0,0.0,0.0,220.0,2001004.0,2001004.0,845.0,0,0,1
3,200101311,0,1029591,0,0,210,2001005,2001005,5008,9129561.0,1.0,1.0,220.0,2001006.0,2001006.0,845.0,0,0,1
4,200102011,0,9028581,1,1,200,2001007,2001007,5009,1015001.0,0.0,0.0,150.0,2001008.0,2001008.0,5010.0,0,0,1
5,200102021,0,1029571,0,0,140,2001009,2001009,5012,9001291.0,1.0,1.0,190.0,2001010.0,2001010.0,5013.0,0,0,1
6,200102031,0,1014991,0,0,390,2001009,2001011,5014,9022991.0,1.0,1.0,150.0,2001011.0,2001012.0,5015.0,0,0,1
7,200102031,1,9022991,1,1,410,2001011,2001013,5016,1014991.0,0.0,0.0,330.0,2001009.0,2001014.0,5017.0,0,0,1
8,200102032,1,9501531,1,1,540,2001012,2001015,5018,,,,,,,,0,0,1
9,200103011,0,9501531,1,1,440,2001012,2001016,5019,1014991.0,0.0,0.0,100.0,2001075.0,2001017.0,5020.0,0,0,1
10,200103021,0,9113061,1,1,380,2001013,2001018,5022,1022941.0,0.0,0.0,260.0,2001014.0,2001019.0,5023.0,0,0,1
11,200103311,0,1013071,0,0,380,2001015,2001020,5022,9122941.0,1.0,1.0,260.0,2001016.0,2001021.0,5023.0,0,0,1
12,200103031,0,1014991,0,0,200,2001009,2001022,5025,9000521.0,1.0,1.0,210.0,2001017.0,2001023.0,5026.0,0,0,1
13,200103031,1,9000521,1,1,380,2001020,2001026,5029,,,,,,,,0,0,1
14,200103032,1,9113011,1,1,150,2001021,2001027,5030,,,,,,,,0,0,1
15,200103033,1,9001301,1,1,590,2001022,2001028,5031,,,,,,,,0,0,1
16,200103321,0,9114991,1,1,200,2001018,2001024,5025,1013011.0,0.0,0.0,210.0,2001019.0,2001025.0,5026.0,0,0,1
17,200103321,1,9114991,1,1,390,2001023,2001029,5032,,,,,,,,0,0,1
18,200103041,0,9013001,1,1,260,2001022,2001032,5035,1032751.0,0.0,0.0,140.0,2001026.0,2001033.0,5036.0,0,0,1
