id,area_id,name,prev_quest_id,any_clear_bonus_stones,all_clear_bonus_stones,visit_count_max,interval_reset_visited_days,can_ignore_difficulty_order,limitation_announcement_id,boostable,start_at,enable_sugoroku_auto,enable_battle_auto,enemy_info_display_type
1,10001,To the Tournament!,,,,,,0,,0,2015-09-27 08:30:00,1,1,0
1000,1,Dimensional Distortion,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1,0
1001,1,After the Tournament...,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
1002,1,Pursuing Mercenary Tao,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
1003,1,Unrivaled Assassin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
1004,1,Reinvestigation,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
1005,1,Invasion of the Warrior Race,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
2001,2,Premonition of Doom,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
2002,2,Ghost Town Investigation,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
2003,2,Mysterious Ki,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
2004,2,New Enemy,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
2005,2,Malicious Android: Cell,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3001,3,Squad Leader,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3002,3,World's Greatest Teacher,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3003,3,Telekinetic Threat,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3004,3,Clever Krillin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3005,3,Turtle School Trial Lesson,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3006,3,Revenge of Crane School,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3007,3,Crane School Pride,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
3008,3,Fierce Fight for Honor,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4001,4,Alien Warrior Encounter 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4002,4,Alien Warrior Encounter 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4003,4,Alien Warrior Encounter 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4004,4,Pursuer Who Summons Death,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4005,4,Alien Warrior Encounter 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4006,4,Alien Warrior Encounter 5,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4007,4,The Beautiful Warrior Zarbon,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
4008,4,Brutal Counterattack,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5001,5,Pint-Sized Super Warrior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5002,5,Intensive Training,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5003,5,Piccolo's Terms,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5004,5,Before the Storm,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5005,5,Psychokinesis,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5006,5,Orange-Haired Hazard,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5007,5,Blue Hurricane,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5008,5,Red Magma,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5009,5,Purple Comet,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
5010,5,The Mighty Ginyu Force,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6001,6,Android Appearance,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6002,6,Android #18's Games Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6003,6,Android #18's Games Part 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6004,6,Android #18's Games Part 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6005,6,Android #18's Super Power,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6006,6,Enter Android #17!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6007,6,Unending Energy of Terror,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6008,6,Nightmare Team Assault,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6009,6,Cell Approaches,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
6010,6,Cell's Ambition,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7001,7,Find Goku! Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7002,7,Find Goku! Part 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7003,7,Find Goku! Part 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7004,7,Find Goku! Part 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7005,7,Enter Goku!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7006,7,Saiyan Attack,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7007,7,Let the Games Begin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7008,7,Elite Warrior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7009,7,Saiyan Tagteam,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
7010,7,Saiyan's Pride,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8001,8,Offense and Defense Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8002,8,Offense and Defense Part 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8003,8,Offense and Defense Part 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8004,8,Offense and Defense Part 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8005,8,Offense and Defense Part 5,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8006,8,Offense and Defense Part 6,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8007,8,Offense and Defense Part 7,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8008,8,Captain Ginyu Arrives!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8009,8,Raging Battle,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
8010,8,Galactic Overlord Frieza,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
9001,9,Ultimate Saiyan,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
9002,9,Super Saiyan Showdown!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
9003,9,Resolution,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10001,10,To the Lab,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10002,10,Red Ribbon's Return 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10003,10,Red Ribbon's Return 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10004,10,Red Ribbon's Return 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10005,10,Dr. Gero's Ambition,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10006,10,Ace in the Hole,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10007,10,Unexpected Savior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
10008,10,Conflicting Motives,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11001,11,Find Goku! Part 5,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11002,11,Find Goku! Part 6,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11003,11,The Wayward Champion,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11004,11,The Wayward Invader,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11005,11,Battle-Smart Brawler 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11006,11,Battle-Smart Brawler 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11007,11,Battle-Smart Brawler 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
11008,11,Best Team There Is,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12001,12,Return of the Elites!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12002,12,Battle-Smart Brawler 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12003,12,Battle-Smart Brawler 5,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12004,12,Telekinetic Rampage,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12005,12,Exquisite Team-Up,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12006,12,Explosive Power,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12007,12,Intellect and Speed,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
12008,12,Enter the Savior?!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13001,13,A Peculiar Goku,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13002,13,Uninvited Enemies,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13003,13,Unwanted Battle,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13004,13,Ginyu's Big Mistake,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13005,13,Dr. Gero's Counterattack,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13006,13,Plundered Energy,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13007,13,Bloodcurdling Message,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
13008,13,Missing Target,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14001,14,In Pursuit of Dr. Gero!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14002,14,Destiny Repeated,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14003,14,Ultimate Weapon Unleashed,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14004,14,Intense Onslaught,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14005,14,Martial Warrior's Offense,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14006,14,Aggressive Circuitry,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14007,14,All Guns Blazing,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
14008,14,Nightmarish Android,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
15001,15,Extraordinary Evil,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
15002,15,Lost Warrior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
15003,15,The Challengers,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,0
16001,16,Reunion with Krillin,,1.0,,,,1,,1,2016-08-17 06:30:00,1,1,0
16002,16,Saiyan Trio,,1.0,,,,1,,1,2016-08-17 06:30:00,1,1,0
16003,16,Saiyan Tag Team Returns!,,1.0,,,,1,,1,2016-08-17 06:30:00,1,1,0
16004,16,Turles the New Saiyan,,1.0,,,,1,,1,2016-08-17 06:30:00,1,1,0
