id,origin_episode_id,page_number,background_image_path,bgm_id
200101,2001,1,origin/map_bg/0000000/map_bg_0000001_01.png,12
200102,2001,2,origin/map_bg/0000000/map_bg_0000001_02.png,12
200103,2001,3,origin/map_bg/0000000/map_bg_0000001_03.png,12
200104,2001,4,origin/map_bg/0000000/map_bg_0000001_01.png,12
200105,2001,5,origin/map_bg/0000000/map_bg_0000001_02.png,12
200106,2001,6,origin/map_bg/0000000/map_bg_0000001_03.png,12
200107,2001,7,origin/map_bg/0000000/map_bg_0000001_01.png,12
200108,2001,8,origin/map_bg/0000000/map_bg_0000001_04.png,13
9900101,99001,1,origin/map_bg/0000000/map_bg_0000001_05.png,35
9900102,99001,2,origin/map_bg/0000000/map_bg_0000001_06.png,35
9900103,99001,3,origin/map_bg/0000000/map_bg_0000001_07.png,35
9900201,99002,1,origin/map_bg/0000000/map_bg_0000001_05.png,35
9900202,99002,2,origin/map_bg/0000000/map_bg_0000001_06.png,35
