id,standby_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id
1,1,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
2,1,1,{},0,5,116,,"{""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830,""energy_ball"":{}}",,
3,1,1,{},0,1,103,,"[4026400,0,1698]",,
4,2,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
5,2,1,{},0,5,116,,"{""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830,""energy_ball"":{}}",,
6,2,1,{},0,1,103,,"[4026401,0,1694]",,
7,3,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
8,3,1,{},0,5,116,,"{""gauge_value"":[39],""count_multiplier"":20,""max_effect_value"":6440,""energy_ball"":{}}",,
9,3,1,{},0,1,103,,"[4025740,0,1699]",,
10,4,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
11,4,1,{},0,5,116,,"{""gauge_value"":[39],""count_multiplier"":20,""max_effect_value"":6440,""energy_ball"":{}}",,
12,4,1,{},0,1,103,,"[4025741,0,1700]",,
13,5,1,{},0,5,115,,"{""type"":""revival"",""is_active"":true}",,
14,5,1,{},0,1,103,,"[4025780,0,1701]",,
15,6,1,{},0,5,115,,"{""type"":""revival"",""is_active"":true}",,
16,6,1,{},0,1,103,,"[4025781,0,1702]",,
17,7,1,{},0,4,115,,"{""type"":""revival"",""is_active"":true}",,
18,7,1,{},0,1,103,,"[4026540,0,1735]",,
19,8,1,{},0,4,115,,"{""type"":""revival"",""is_active"":true}",,
20,8,1,{},0,1,103,,"[4026541,0,1736]",,
21,9,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
22,9,1,{},0,4,116,,"{""gauge_value"":[30],""count_multiplier"":1,""max_effect_value"":30,""energy_ball"":{""multiplier"":[1,1,2,1,1,2]}}",,
23,9,1,{},0,1,103,,"[4026910,0,1743]",,
24,10,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
25,10,1,{},0,4,116,,"{""gauge_value"":[30],""count_multiplier"":1,""max_effect_value"":30,""energy_ball"":{""multiplier"":[1,1,2,1,1,2]}}",,
26,10,1,{},0,1,103,,"[4026911,0,1744]",,
27,11,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
28,11,1,{},0,4,116,,"{""gauge_value"":[1],""count_multiplier"":50,""max_effect_value"":12100,""attack"":{}}",,
29,11,1,{},0,1,103,,"[4027300,0,1754]",,
30,12,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
31,12,1,{},0,4,116,,"{""gauge_value"":[1],""count_multiplier"":50,""max_effect_value"":12100,""attack"":{}}",,
32,12,1,{},0,1,103,,"[4027301,0,1755]",,
33,13,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
34,13,1,{},0,5,116,,"{""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830,""energy_ball"":{}}",,
35,13,1,{},0,1,103,,"[9526400,0,1698]",,
36,14,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
37,14,1,{},0,5,116,,"{""gauge_value"":[30],""count_multiplier"":15,""max_effect_value"":4830,""energy_ball"":{}}",,
38,14,1,{},0,1,103,,"[9526401,0,1694]",,
39,15,1,{},0,5,115,,"{""type"":""special_counter"",""is_active"":true}",,
40,15,1,{},0,1,103,,"[4027630,0,1772]",,
41,16,1,{},0,5,115,,"{""type"":""special_counter"",""is_active"":true}",,
42,16,1,{},0,1,103,,"[4027631,0,1772]",,
43,17,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
44,17,1,{},0,4,116,,"{""gauge_value"":[1],""count_multiplier"":100,""max_effect_value"":24200,""attack"":{}}",,
45,17,1,{},0,1,103,,"[4028380,0,1789]",,
46,18,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
47,18,1,{},0,4,116,,"{""gauge_value"":[1],""count_multiplier"":100,""max_effect_value"":24200,""attack"":{}}",,
48,18,1,{},0,1,103,,"[4028381,0,1790]",,
49,19,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
50,19,1,{},0,5,116,,"{""energy_ball"":{},""gauge_value"":[25],""count_multiplier"":1,""max_effect_value"":30}",,
51,19,1,{},0,1,103,,"[4029100,0,1806]",,
52,20,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
53,20,1,{},0,5,116,,"{""energy_ball"":{},""gauge_value"":[25],""count_multiplier"":1,""max_effect_value"":30}",,
54,20,1,{},0,1,103,,"[4029101,0,1807]",,
55,21,1,{},0,3,115,,"{""type"":""charge"",""is_active"":true}",,
56,21,1,{},0,3,116,,"{""energy_ball"":{""multiplier"":{""executor"":[1,1,1,1,2,1],""non_executor"":[1,1,1,1,2,1]}},""gauge_value"":[41],""received_attack"":{""multiplier"":{""executor"":3,""non_executor"":0}},""count_multiplier"":20,""max_effect_value"":13360}",,
57,21,1,{},0,1,103,,"[4029370,0,1811]",,
58,22,1,{},0,3,115,,"{""type"":""charge"",""is_active"":true}",,
59,22,1,{},0,3,116,,"{""energy_ball"":{""multiplier"":{""executor"":[1,1,1,1,2,1],""non_executor"":[1,1,1,1,2,1]}},""gauge_value"":[41],""received_attack"":{""multiplier"":{""executor"":3,""non_executor"":0}},""count_multiplier"":20,""max_effect_value"":13360}",,
60,22,1,{},0,1,103,,"[4029371,0,1812]",,
61,23,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
62,23,1,{},0,5,116,,"{""energy_ball"":{""multiplier"":{""executor"":[1,1,1,1,1,1],""non_executor"":[1,1,1,1,1,1]},""plug_in_addend"":{""executor"":[0,4],""non_executor"":[0,4]}},""gauge_value"":[35],""count_multiplier"":20,""max_effect_value"":10000}",,
63,23,1,{},0,1,103,,"[4029480,0,1827]",,
64,23,1,{},0,5,130,,"{""is_active"":true}",,
65,24,1,{},0,5,115,,"{""type"":""charge"",""is_active"":true}",,
66,24,1,{},0,5,116,,"{""energy_ball"":{""multiplier"":{""executor"":[1,1,1,1,1,1],""non_executor"":[1,1,1,1,1,1]},""plug_in_addend"":{""executor"":[0,4],""non_executor"":[0,4]}},""gauge_value"":[35],""count_multiplier"":20,""max_effect_value"":10000}",,
67,24,1,{},0,1,103,,"[4029481,0,1828]",,
68,24,1,{},0,5,130,,"{""is_active"":true}",,
69,25,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
70,25,1,{},0,4,116,,"{""energy_ball"":{""multiplier"":{""executor"":[0,0,0,0,0,0],""non_executor"":[0,0,0,0,0,0]},""plug_in_addend"":{""executor"":[0,1],""non_executor"":[0,1]}},""gauge_value"":[7],""count_multiplier"":100,""max_effect_value"":700}",,
71,25,1,{},0,1,103,,"[4030800,0,1852]",,
72,25,1,{},0,4,130,,"{""is_active"":true}",,
73,26,1,{},0,4,115,,"{""type"":""charge"",""is_active"":true}",,
74,26,1,{},0,4,116,,"{""energy_ball"":{""multiplier"":{""executor"":[0,0,0,0,0,0],""non_executor"":[0,0,0,0,0,0]},""plug_in_addend"":{""executor"":[0,1],""non_executor"":[0,1]}},""gauge_value"":[7],""count_multiplier"":100,""max_effect_value"":700}",,
75,26,1,{},0,1,103,,"[4030801,0,1852]",,
76,26,1,{},0,4,130,,"{""is_active"":true}",,
