id,card_id,card_category_id,num
1000010001,1000010,17,1
1000010002,1000010,30,2
1000010003,1000010,36,3
1000010004,1000010,39,4
1000010005,1000010,65,5
1000010006,1000010,79,6
1000010007,1000010,87,7
1000010008,1000010,89,8
1000011001,1000011,17,1
1000011002,1000011,30,2
1000011003,1000011,36,3
1000011004,1000011,39,4
1000011005,1000011,65,5
1000011006,1000011,79,6
1000011007,1000011,87,7
1000011008,1000011,89,8
1000020001,1000020,17,1
1000020002,1000020,31,2
1000020003,1000020,36,3
1000020004,1000020,38,4
1000020005,1000020,68,5
1000020006,1000020,76,6
1000020007,1000020,96,7
1000021001,1000021,17,1
1000021002,1000021,31,2
1000021003,1000021,36,3
1000021004,1000021,38,4
1000021005,1000021,68,5
1000021006,1000021,76,6
1000021007,1000021,96,7
1000030001,1000030,11,1
1000030002,1000030,14,2
1000030003,1000030,17,3
1000030004,1000030,30,4
1000030005,1000030,39,5
1000030006,1000030,57,6
1000030007,1000030,65,7
1000030008,1000030,79,8
1000030009,1000030,87,9
1000030010,1000030,89,10
1000031001,1000031,11,1
1000031002,1000031,14,2
1000031003,1000031,17,3
1000031004,1000031,30,4
1000031005,1000031,39,5
1000031006,1000031,57,6
1000031007,1000031,65,7
1000031008,1000031,79,8
1000031009,1000031,87,9
1000031010,1000031,89,10
1000040001,1000040,17,1
1000040002,1000040,25,2
1000040003,1000040,31,3
1000040004,1000040,41,4
1000040005,1000040,50,5
1000040006,1000040,62,6
1000040007,1000040,68,7
1000040008,1000040,69,8
1000040009,1000040,80,9
1000040010,1000040,83,10
1000040011,1000040,86,11
1000040012,1000040,96,12
1000041001,1000041,17,1
1000041002,1000041,25,2
1000041003,1000041,31,3
1000041004,1000041,41,4
1000041005,1000041,50,5
1000041006,1000041,62,6
1000041007,1000041,68,7
1000041008,1000041,69,8
1000041009,1000041,80,9
1000041010,1000041,83,10
1000041011,1000041,86,11
1000041012,1000041,96,12
1000050001,1000050,14,1
1000050002,1000050,23,2
1000050003,1000050,24,3
1000050004,1000050,41,4
1000050005,1000050,50,5
1000050006,1000050,62,6
1000050007,1000050,68,7
1000050008,1000050,69,8
1000050009,1000050,78,9
1000050010,1000050,96,10
1000051001,1000051,14,1
1000051002,1000051,23,2
1000051003,1000051,24,3
1000051004,1000051,41,4
1000051005,1000051,50,5
1000051006,1000051,62,6
1000051007,1000051,68,7
1000051008,1000051,69,8
1000051009,1000051,78,9
1000051010,1000051,96,10
1000060001,1000060,14,1
1000060002,1000060,23,2
1000060003,1000060,24,3
1000060004,1000060,41,4
1000060005,1000060,50,5
1000060006,1000060,62,6
1000060007,1000060,68,7
1000060008,1000060,69,8
1000060009,1000060,78,9
1000060010,1000060,96,10
1000061001,1000061,14,1
1000061002,1000061,23,2
1000061003,1000061,24,3
1000061004,1000061,41,4
1000061005,1000061,50,5
1000061006,1000061,62,6
1000061007,1000061,68,7
1000061008,1000061,69,8
1000061009,1000061,78,9
1000061010,1000061,96,10
1000070001,1000070,21,1
1000070002,1000070,23,2
1000070003,1000070,26,3
1000070004,1000070,32,4
1000070005,1000070,38,5
1000070006,1000070,39,6
1000070007,1000070,43,7
1000070008,1000070,59,8
1000070009,1000070,78,9
1000070010,1000070,82,10
1000071001,1000071,21,1
1000071002,1000071,23,2
1000071003,1000071,26,3
1000071004,1000071,32,4
1000071005,1000071,38,5
1000071006,1000071,39,6
1000071007,1000071,43,7
1000071008,1000071,59,8
1000071009,1000071,78,9
1000071010,1000071,82,10
1000080001,1000080,21,1
1000080002,1000080,23,2
1000080003,1000080,26,3
1000080004,1000080,32,4
1000080005,1000080,38,5
1000080006,1000080,39,6
1000080007,1000080,43,7
1000080008,1000080,59,8
1000080009,1000080,78,9
1000080010,1000080,82,10
1000081001,1000081,21,1
1000081002,1000081,23,2
1000081003,1000081,26,3
1000081004,1000081,32,4
