id,effect_description,cancel_description
1,"Damage Reduction 
  Reduces damage received 
Disable Super Attack Sealing 
  Nullifies Super Attack sealing effect 
ATK & DEF Boost 
  Greatly increases ATK & DEF",Create a Domain
10,"Change Ki Spheres (Random) 
  Randomly changes all Ki Spheres 
ATK Boost 
  Greatly increases ATK",Create a Domain
20,"Disable ATK & DEF Reduction 
  Disables ATK & DEF Reduction",Create a Domain
30,"ATK & DEF Boost 
  Greatly increases ATK & DEF",Create a Domain
40,"Damage Reduction 
  Reduces damage received 
Disable ATK & DEF Reduction 
  Disables ATK & DEF Reduction 
Stun Immunity 
  Grants immunity to being stunned 
Disable Super Attack Sealing 
  Nullifies Super Attack sealing effect",Create a Domain
41,"Disable ATK & DEF Reduction 
  Disables ATK & DEF Reduction 
Stun Immunity 
  Grants immunity to being stunned 
Disable Super Attack Sealing 
  Nullifies Super Attack sealing effect",Create a Domain
50,"DEF Boost 
  Greatly increases DEF",Create a Domain
60,"ATK Boost 
  Greatly increases ATK",Create a Domain
62,"Damage Reduction 
  Reduces damage received 
ATK Boost 
  Greatly increases ATK",Create a Domain
66,"Disable ATK Reduction 
  Disables ATK Reduction 
Damage Reduction 
  Reduces damage received",Create a Domain
70,"Ki Reduction 
  Enemies' Ki -6 
  (will not become lower than 0) 
Stun Immunity 
 Grants immunity to being stunned",Create a Domain
80,"Damage Reduction 
 Reduces damage received 
Change Ki Spheres 
 Changes STR Ki Spheres to PHY Ki Spheres",Create a Domain
90,"Damage Reduction 
 Reduces damage received 
Disable ATK & DEF Reduction 
 Disables ATK & DEF Reduction",Create a Domain
94,"Unarmed Super Attack Nullification 
  Nullifies Unarmed Super Attacks",Create a Domain
100,"ATK & DEF Boost 
  Greatly increases ATK & DEF 
Ki Reduction 
  Enemies' Ki -2 
  (will not become lower than 0)",Create a Domain
101,"Damage Reduction 
  Reduces damage received 
Disable Super Attack Sealing 
  Nullifies Super Attack sealing effect",Create a Domain
108,"ATK Boost 
  ATK +100% 
Lowered DEF 
  DEF -100% 
Damage Reduction 
  Reduces damage received 
Stun Immunity 
  Grants immunity to being stunned",Create a Domain
116,"Ki Reduction 
  Enemies' Ki -5 
  (will not become lower than 0)",Create a Domain
120,"Disable Super Attack Sealing 
  Nullifies Super Attack sealing effect 
Stun Immunity 
  Grants immunity to being stunned 
Change Ki Spheres (Random) 
  Randomly changes all Ki Spheres",Create a Domain
