id,comment,required_stone_for_unrelease
1,"選択可能スキル: 連続攻撃+3, 会心+3",1
2,"選択可能スキル: 会心+3, 回避+3",1
3,"選択可能スキル: 連続攻撃+3, 回避+3",1
4,"選択可能スキル: 属性攻撃UP+5, 必殺威力UP+5",1
5,"選択可能スキル: 属性防御UP+5, 治癒+5",1
6,"選択可能スキル: 連続攻撃+3, 会心+3, 回避+3",1
7,"選択可能スキル: 連続攻撃+5, 会心+5, 回避+5",1
8,"選択可能スキル: 連続攻撃+2, 会心+2",1
9,"選択可能スキル: 連続攻撃+4, 会心+4, 回避+4",1
10,"選択可能スキル: 会心+2, 回避+2",1
11,"選択可能スキル: 連続攻撃+1, 回避+1",1
12,"選択可能スキル: 会心+1, 回避+1",1
13,"選択可能スキル: 属性攻撃UP+5, 属性防御UP+5",1
14,"選択可能スキル: 連続攻撃+2, 回避+2",1
15,"選択可能スキル: 連続攻撃+4, 回避+4",1
16,"選択可能スキル: 連続攻撃+4, 会心+4",1
17,"選択可能スキル: 属性攻撃UP+5, 治癒+5",1
18,"選択可能スキル: 連続攻撃+2, 会心+2, 回避+2",1
19,"選択可能スキル: 連続攻撃+1, 会心+1",1
20,"選択可能スキル: 属性攻撃UP+3, 属性防御UP+3",1
21,"選択可能スキル: 必殺威力UP+3, 治癒+3",1
22,"選択可能スキル: 必殺威力UP+5, 治癒+5",1
23,"選択可能スキル: 連続攻撃+5, 会心+5",1
24,"選択可能スキル: 連続攻撃+5, 回避+5",1
25,"選択可能スキル: 属性防御UP+5, 必殺威力UP+5",1
