id,name,ingame_icon_path,effect_description,condition_description,exec_limit,causality_conditions,special_view_id,costume_special_view_id,bgm_id
1,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&5"", ""compiled"": [""&"", 3205, 5]}",11520,0,241
2,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&5"", ""compiled"": [""&"", 3205, 5]}",11520,0,241
3,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃すると発動可能
(1回のみ)",1,"{""source"": ""3205&(27|(5&3167))"", ""compiled"": [""&"", 3205, [""|"", 27, [""&"", 5, 3167]]]}",11583,0,232
4,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃すると発動可能
(1回のみ)",1,"{""source"": ""3205&(27|(5&3167))"", ""compiled"": [""&"", 3205, [""|"", 27, [""&"", 5, 3167]]]}",11583,0,232
5,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_2.png,5ターンの間、スタンバイする,"自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃を受けると発動可能
(1回のみ)",1,"{""source"": ""3206&3207&(27|(5&746))"", ""compiled"": [""&"", 3206, 3207, [""|"", 27, [""&"", 5, 746]]]}",11584,0,235
6,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_2.png,5ターンの間、スタンバイする,"自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃を受けると発動可能
(1回のみ)",1,"{""source"": ""3206&3207&(27|(5&746))"", ""compiled"": [""&"", 3206, 3207, [""|"", 27, [""&"", 5, 746]]]}",11584,0,235
7,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_2.png,4ターンの間、スタンバイする,"自身の登場から6ターン目以降、
HP59%以下のとき発動可能
(1回のみ)",1,"{""source"": ""3206&3207&579&6"", ""compiled"": [""&"", 3206, 3207, 579, 6]}",12042,0,266
8,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_2.png,4ターンの間、スタンバイする,"自身の登場から6ターン目以降、
HP59%以下のとき発動可能
(1回のみ)",1,"{""source"": ""3206&3207&579&6"", ""compiled"": [""&"", 3206, 3207, 579, 6]}",12042,0,266
9,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"4ターンの間、スタンバイし、
チームの味方の取得知気玉か虹気玉1個につき
チャージカウントが2増加、
知気玉以外の取得属性気玉1個につき
チャージカウントが1増加する","バトル中自身が5回以上攻撃を受けると
発動可能(1回のみ)",1,"{""source"": ""3205&681"", ""compiled"": [""&"", 3205, 681]}",12252,0,277
10,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"4ターンの間、スタンバイし、
チームの味方の取得知気玉か虹気玉1個につき
チャージカウントが2増加、
知気玉以外の取得属性気玉1個につき
チャージカウントが1増加する","バトル中自身が5回以上攻撃を受けると
発動可能(1回のみ)",1,"{""source"": ""3205&681"", ""compiled"": [""&"", 3205, 681]}",12252,0,277
